English	Slang	Usage
=====================
1st (first class degree)	Geoff Hurst	He managed a Geoff [Geoff Hurst was a soccer player who played for England 49 times - Thanks to L H Webber]
2:2 (lower second class degree)	Desmond Tutu	He’s got his Desmond [Thanks to John Curtis-Rouse]
3rd (third class degree)	Douglas Hurd	I got a Desmond but he only managed a Douglas [Thanks to Tim Herman]
All Dayer (all day drinking session)	Leo Sayer	Let's make it a Leo Sayer. [Thanks to Sean Gillespie]
All Dayer (all day drinking)	Gary Player	Let's make it a Gary Player [Thanks to J. Jeffreys]
Alone	Jack Jones	He went to the pub all Jack. [This doubtless comes from a Music Hall song sung, somewhere between 1900 and 1914, by the Cockney songster Gus Elen entitled " 'E dunno where 'e are". Gus is buried in Streatham Park Cemetery, London. I believe he died about 1944. The song is about a bloke, Jack Jones, who comes into a sum of money and thinks himself too good for his former mates:
"When he's up at Covint Gardin you can see 'im a standin' all alone, / Won't join in a quiet little Tommy Dodd (half-pint of beer), drinking Scotch and Soda on 'is own, / 'E 'as the cheek and impidence to call 'is muvver 'is Ma, / Since Jack Jones came into a little bit o' splosh, well 'e dunno where 'e are." - Thanks to Frank Haigh for the explanation of the source]
Alone	Pat Malone	I'm all pat tonight. [Thanks to Alan Little]
Alone	Todd Sloan	Looks like I'm on my Todd tonight. [Thanks to Jeff McCartney. - Frank Baynham reports that Todd Sloan was a famous jockey (I've found a listing for him at the Wikiup ranch in Northern California) who had a tendency to run at the front of the pack... all alone.]
Arm	Chalk Farm	He broke his chalk.
Army	Daft and Barmy	He was promoted in the daft. [Thanks to Alan Little]
Army	Kate Karney	He's off and joined the Kate.  [Kate Carney (1869-1950), a comedienne, was born into a music hall family in London. She made her first stage appearance at the Albert Music Hall, Canning Town, and later became famous for her cockney character songs. These songs established her at the top of the bill and she was described as 'The Cockney Queen'. - Thanks to Cab for the information on Kate]
Arse	April in Paris	I’m ‘aving terrible trouble with me April [How can such a simple word have so many convoluted references?  April in Paris - Aris (from Aristotle - bottle which is from bottle and glass - arse.)  Whew – Thanks to Peter Chrisp]
Arse	Aristotle	I gave him a good kick up the Aris. (Aristotle=Bottle=Bottle and Glass=Arse; therefore, Aris=Arse) See also bottle.
Arse	Bottle and Glass	I gave him a good kick up the bottle.
Arse	Khyber Pass	Stick it up your khyber.
Arse	Rolf Harris	She kicked him in the Rolf [Rolf Harris wrote "My Boomerang Won't Come Back".  See the reference above to Aristotle.  Thanks to Matt Fisher]
Arsehole	Elephant & Castle	He's a bit of an elephant [Thanks to Steve Fuller]
Arsehole	Jam Roll	That geezer is a right jam roll. [Thanks to Robert Lynch]
Arsehole	Merry Old Soul	‘e’s a bit of a merry old soul [Thanks to Sanor]
Aunt	Mrs. Chant	He didn't know what to get his Mrs. Chant for Christmas [Thanks to Alan Little]
Back	Cadbury Snack	Me cadbury's playing me up [Thanks to Pete Powis]
Back	Hammer and Tack	Ooh! Me 'ammer and tack's playing me up again. [Thanks to James]
Back	Hat Rack	He fell off the roof and broke his hat rack [Thanks to Martin Hillier]
Back	Union Jack	My old Union Jack's giving me gyp something chronic [Thanks to Ray Wells]
Bad	Sorry and Sad	That dinner was a bit sorry.
Balls (testicles)	Berlin Walls	Me pants are too tight and making me berlins wobbly [Thanks to Stephen Hartwig]
Balls (testicles)	Cobbler's Awls	Go on! Kick him in the cobblers! [Can also be used to express disbelief, such as "Cobblers! That's not the way it is."]
Balls (testicles)	Coffee Stalls	He gave him a kick in the corfies [Thanks to Rick Hardy - the pronunciation is reported to be corfie, not coffee]
Balls (testicles)	Niagara Falls	I got him in his niagara's [Thanks to Alan Little]
Balls (testicles)	Orchestra Stalls	He nearly got hit in the orchestra [Thanks to Alan Little]
Balls (testicles)	Royal Albert Hall	I kicked this geezer straight in the Royal Alberts [Thanks to Steve Smith]
Banana	Gertie Gitana	I like a gertie on my cereal [Possibly an old music hall star - Thanks to Christopher Webb.  Sue Lawrence adds: "Gertie Gitana was indeed a music hall performer. My mother, now ninety-two, spent her early life in Dalston and used to go and see her at the Hackney Empire.]
Bank	Armitage Shank	I’m off to the armitage [Armitage Shank is the maker of fine porcelain fixtures found in washrooms everywhere - Thanks to Ed Leveque.]
Bank	Cab Rank	I won't be long - just going to the cab rank [Thanks to Mike Smith]
Bank	Iron Tank	He lost his house to the iron.
Bank	J. Arthur Rank	Gotta get a cock & hen from the J Arthur [Thanks to Aaron Marchant]
Bank	Sherman Tank	He's off to the Sherman [Thanks to Iain Gordon]
Bank	Tommy Tank	I'm going 'round the tommy to pay in a gooses. [See also Wank - thanks to Christopher Webb]
Bar (pub)	Jack Tar	I'm off to the Jack. [See also 'Alone' and Bar (pub). Could be very confusing if you're going alone - "I'm off to the jack jack". Or, if you were telling your brother Jack, "I'm off to the jack jack, Jack"]
Bar (pub)	Near and Far	I saw him at the near.
Barber	Dover Harbour	I’m off to Dover to get me barnet sorted [Thanks to Mark Vernon]
Barking (mad)	Three stops down from Plaistow	He’s three stops down from Plaistow [from the London Underground District Line – thanks to Matthew Jackson]
Barrow	Cock Sparrow	He's wheeling his cock 'round the market. [Lenny notes that in the north this expression can also refer to a friend, as in "Hello me old cock sparrow"]
Bath	Steffi Graf	I’m just going for a steffi [Thanks to David Shea]
Bed	Uncle Ted	I'm off to Uncle Ted.
Beer	Pig's Ear	Can I buy you a pig?
Beers	Brittney Spears	'ow about a Brittney?" [Brittney Spears is a popular singer. Thanks to Ben Allen]
Believe	Adam and Eve	I don't Adam and Eve it! [Usually full slang expression is used]
Belly	Auntie Nellie	I punched him in the Auntie but he didn't even notice.
Belly	Derby Kelly	That's the stuff for you Derby Kell; makes you fit and it makes you well [From old cockney song Boiled Beef and Carrots - pronounced Darby. Thanks to Christopher Webb]
Belly	New Delhi	Look at the new delhi on him! [Thanks to Daniel Williams]
Bender (homosexual)	Leo Fender	That blokes a bit leo after all. [The late Leo Fender was the inventor of the Stratocaster guitar - thanks to Richard English]
